Date,Open,High,Low,Close,Volume
2019-11-07,81.1,81.19,77.22,78.99,6171218
2019-11-08,79.25,80.79,78.67,79.95,2846936
2019-11-11,79.88,79.965,75.6469,76.79,5034836
2019-11-12,76.75,79.47,73.85,78.27,6289421
2019-11-13,78,80.18,77,79.015,3888707
2019-11-14,81.34,83.38,79.64,80.43,5544708
2019-11-15,81.04,83.14,79.06,80.81,4099928
2019-11-18,81.22,81.22,78.55,79.72,2938011
2019-11-19,79.75,80,76.55,77.35,2975011
2019-11-20,76.89,78.57,76.23,78.12,2210245
2019-11-21,78.3,80.175,77.18,78.62,2643671
2019-11-22,78.55,78.9,76.55,77.34,2378822
2019-11-25,78.04,78.8,76.05,77.28,3946560
2019-11-26,77.52,79.73,76.7,79.43,3318089
2019-11-27,79.96,83.6512,79.75,81.66,5099884
2019-11-29,82.08,84.9,81.83,82.96,3694658
2019-12-02,83.3,83.6436,77.03,79.27,5984964
2019-12-03,77.51,77.6804,75.4,76.16,5269332
2019-12-04,76.75,77.05,73.51,73.89,5168416
2019-12-05,73.59,76.03,71.3008,73.66,5684212
2019-12-06,74,76.3,73.25,76.22,3565716
2019-12-09,76.16,76.274,73.63,74.05,3031159
2019-12-10,73.45,75.08,73.4,74.65,2453789
2019-12-11,74.79,76.95,74.46,75.9,3322133
2019-12-12,75.91,76.88,74.27,75.23,2607996
2019-12-13,75.36,76.39,74.85,75.02,1772696
2019-12-16,75,75.01,71.6463,73.6,4873254
2019-12-17,73.17,77.2102,73.17,76.33,4611600
2019-12-18,76.55,77.8802,75.44,77.3,3742731
2019-12-19,77.79,80.02,76.82,77.36,4777236
2019-12-20,76.88,77,75.07,76.84,5969552
2019-12-23,76.88,78.46,76.63,77.74,2864187
2019-12-24,78.02,79.28,76.9392,77.73,2016388
2019-12-26,78.25,78.579,76.0501,76.4,2959202
2019-12-27,76.73,77.42,75.14,75.64,2737628
2019-12-30,75.76,75.95,73.6,74.15,2549658
2019-12-31,73.55,75.73,73.22,75.6,2004081
2020-01-02,76.23,77.2,75.26,75.64,2223755
2020-01-03,75.12,76.2,74.3136,75.41,1629314
2020-01-06,74.97,75.75,73.83,74.59,2328628
2020-01-07,75,84.88,75,83.89,12172435
2020-01-08,86,88.27,81.16,81.48,18235633
2020-01-09,82.98,90.3994,81.35,90.25,17130348
2020-01-10,91.8235,97.9,90.25,96.07,22571699
2020-01-13,99.71,115.5,98.8,114.34,29836220
2020-01-14,124.73,135.23,114.28,117.05,50768044
2020-01-15,110.79,115.25,106.11,107.08,23034968
2020-01-16,111.27,114.4,107.25,110.4,15080519
2020-01-17,110.84,113.11,107.43,109.12,10445474
2020-01-21,113,129.55,111.12,129.18,29423969
2020-01-22,126.93,134.7,119.01,122.4,25189110
2020-01-23,119.75,120.99,112.88,118.64,12073827
2020-01-24,123.81,126.74,116.42,119.49,13241545
2020-01-27,119.8,129.83,119.6,124.75,18454187
2020-01-28,124.43,127.885,117.26,120.12,12237584
2020-01-29,123.74,123.8,113.63,114.88,13028726
2020-01-30,115.4,118.47,114.49,117.29,6708374
2020-01-31,117.43,118.15,108.03,110.42,8055241
2020-02-03,111.81,112.7,102.43,106,11109948
2020-02-04,106.77,114.15,106.5,110.43,8532855
2020-02-05,113.5,113.99,108.96,110.17,5428389
2020-02-06,111.997,113.005,109.55,111.89,4170432
2020-02-07,111.98,120.52,111.3,116.44,12762168
2020-02-10,118.49,122.5,116.1,119.73,10574178
2020-02-11,120.46,123.1,116.1,117.14,7971117
2020-02-12,117.28,119.5,113.77,114.73,6242452
2020-02-13,114.79,117,111,112.01,7911186
2020-02-14,113,117.47,112.31,116.22,6969187
2020-02-18,118,123.7,117.577,122.03,8660971
2020-02-19,124.07,129,122.1,126.1,8705669
2020-02-20,126.08,126.1,115.14,120.58,8376536
2020-02-21,120.62,122,116.03,117.45,5578304
2020-02-24,110,114.8,109.05,113.96,5926473
2020-02-25,115.12,116.8,108.14,109.92,5461206
2020-02-26,115.33,118.2,111.55,112.51,7260913
2020-02-27,110.34,111.5,103.5,106.14,7833633
2020-02-28,88,91.77,85,89.65,13231154
2020-03-02,95,96.8,90.3,96.1,7240451
2020-03-03,101.6,101.669,94.63,95.43,9611924
2020-03-04,99.02,101.93,97.7,101.89,6576845
2020-03-05,99.24,100.25,95.07,95.87,4337393
2020-03-06,92.9,96.44,91.6,96.09,4210292
2020-03-09,85.5,91.65,82.22,87.96,5221223
2020-03-10,92.05,92.8899,85.61,90.98,4388306
2020-03-11,87.87,89.52,81.3255,82.64,4215048
2020-03-12,72.5,76.11,68.85,74,7098971
2020-03-13,76.01,79.4466,68.61,73.06,5493986
2020-03-16,63.82,66.19,60.14,61.55,5988728
2020-03-17,61.56,65.89,57.76,60.32,5631525
2020-03-18,56.15,58.308,51,54.02,4744602
2020-03-19,52.05,58.8,48.18,57.33,5759843
2020-03-20,59.61,63.4777,54.1495,57.99,5121461
2020-03-23,57.51,60.8699,55.11,57.55,3675470
2020-03-24,62.35,69.75,62,67.43,5678798
2020-03-25,73.13,78.6,70.5638,73,6706071
2020-03-26,69.5,72.96,66.42,71.1,7964573
2020-03-27,68.17,68.215,64.22,66.12,4075686
2020-03-30,67,68.5,63.82,66.09,3106673
2020-03-31,67.2,69,65.34,66.6,2564594
2020-04-01,64.2,65.68,63.19,64.18,2368512
2020-04-02,63.86,63.9695,57,57.95,4847367
2020-04-03,59.01,60.85,57.12,59.91,3221564
2020-04-06,62.75,66.66,62.05,65.92,3839079
2020-04-07,70.01,71.8,65.2939,67.43,4450326
2020-04-08,68.35,71.4,67.39,69.47,2386970
2020-04-09,71.68,74.72,70.6,72.3,3338273
2020-04-13,73.01,77.16,71.23,76.67,3299214
2020-04-14,79.99,82.63,77.2,78.05,4982573
2020-04-15,76.71,77,72.62,74.7,2968548
2020-04-16,75.42,76.07,72.9,74.82,2040483
2020-04-17,77.78,78,75.33,76.91,2131077
2020-04-20,76.24,83.62,76,79.12,4607036
2020-04-21,87.51,92,82.103,84.96,13184856
2020-04-22,87,90.39,85.14,88.46,6128850
2020-04-23,89.87,101.5599,89.295,99.78,11319859
2020-04-24,105,113.48,103,108.78,21206159
2020-04-27,111.92,116.64,97.5,99.63,20131494
2020-04-28,101.97,104.48,97.25,99.52,7076457
2020-04-29,100.56,103,97.92,100.1,4531257
2020-04-30,98.19,107,96.13,98.99,6718848
2020-05-01,94.4,98.72,89.9,91.53,6558425
2020-05-04,89,95.4708,88.51,95.16,4267757
2020-05-05,100.5,102.5,96.6628,100.16,11915162
2020-05-06,110.26,126.5,110,126.21,38572424
2020-05-07,126.72,127.84,117.12,122.66,22970954
2020-05-08,123.47,136,119.1011,133.51,22524851
2020-05-11,129.51,139.29,129,130.82,15832017
2020-05-12,133.97,145.5,131.89,136.93,21441859
2020-05-13,140.58,147.55,127.21,134.51,22508226
2020-05-14,133.49,141,131.2103,135.41,12681816
2020-05-15,134.98,140.2,132.63,134.16,8232888
2020-05-18,137.49,137.95,128.81,130.03,8031608
2020-05-19,132.73,142,132.67,136.2,13729717
2020-05-20,142.07,144.92,137.04,140.5,9777919
2020-05-21,141.03,141.915,134.45,138.11,5531806
2020-05-22,137.26,139.38,135.07,136.8,3318570
2020-05-26,139.83,139.88,131.5,132.87,4639144
2020-05-27,130.71,131.98,116,123.15,10083678
2020-05-28,121.55,126.5993,120,120.82,5003373
2020-05-29,122.15,129,121.5,128.29,7684516
2020-06-01,134.31,139.2,133.28,138.69,11557778
2020-06-02,136.13,136.7499,132.14,135.19,6732949
2020-06-03,135,138.45,133.22,134.23,4649008
2020-06-04,133.86,142.21,133.16,136.44,7779604
2020-06-05,136.05,137.89,132.77,133.53,4611995
2020-06-08,137.02,163.22,135.75,162.46,20318886
2020-06-09,156.71,161.54,148.56,153.95,13834052
