Date,Open,High,Low,Close,Volume
2016-09-30,53.6412,54.0071,53.6412,53.7504,1460.8364928549
2016-10-03,54.0071,54.5452,53.9924,54.5452,193.151658763
2016-10-04,54.9082,54.9082,54.9082,54.9082,76.2440758275
2016-10-05,55.5742,55.7197,55.4905,55.6027,782.772511829
2016-10-06,56.3218,56.5273,56.0709,56.4713,1579.7772511458
2016-10-07,56.3936,56.3936,55.4974,55.4974,1260.568720348
2016-10-10,57.3527,57.3527,57.1726,57.1726,505.2440758169
2016-10-11,56.9287,57.0684,56.5057,56.5057,242.9644549703
2016-10-12,56.1152,56.1152,56.1152,56.1152,38.6303317526
2016-10-13,56.1368,56.3218,56.1368,56.3218,368.0047393274
2016-10-14,56.1653,56.1653,56.1653,56.1653,38.6303317526
2016-10-17,55.6922,55.6922,55.6922,55.6922,175.8696682421
2016-10-18,55.9155,56.0365,55.9155,56.0365,466.6137440643
2016-10-19,57.0959,57.0959,57.0959,57.0959,38.6303317526
2016-10-20,56.2932,56.2932,56.2155,56.2155,188.0687203745
2016-10-21,55.8594,56.2716,55.8594,56.2716,76.2440758275
2016-10-24,55.6253,56.0365,55.0617,56.0365,175.8696682421
2016-10-25,55.0872,55.0872,55.0872,55.0872,368.0047393274
2016-10-26,54.2895,54.3062,54.2895,54.3062,271.4289099459
2016-10-27,55.0872,55.0872,55.0872,55.0872,368.0047393274
2016-10-28,55.0872,55.0872,55.0872,55.0872,0
2016-10-31,53.0048,53.0048,51.5637,51.5637,976.9407582697
2016-11-01,52.2601,52.2601,51.2312,51.7457,15746.943127573
2016-11-02,50.7659,51.0502,49.8944,50.0714,1445.5876776894
2016-11-03,50.2259,50.2259,49.1448,49.5304,642.4834123064
2016-11-04,48.7582,49.5304,48.3883,48.6087,1018.6208530554
2016-11-07,49.1969,49.5304,49.1448,49.3819,1128.412322247
2016-11-08,49.2501,50.0429,49.1753,50.0429,3301.8767771696
2016-11-09,49.6337,50.6892,49.4596,50.2013,13396.592416731
2016-11-10,49.4596,49.6061,49.3819,49.3819,1554.3625592033
2016-11-11,48.4779,48.4779,47.9103,48.2959,3086.3601894972
2016-11-14,47.6565,48.2959,47.2178,48.1916,10188.241705909
2016-11-15,49.4065,50.7167,49.3533,50.7167,4844.0402842405
2016-11-16,50.2013,50.5584,49.8649,50.3518,2846.44549756
2016-11-17,50.9981,51.1043,49.6868,49.6986,8439.7109002654
2016-11-18,50.2013,50.5043,49.7655,50.457,4577.6943126831
2016-11-21,51.9237,52.8248,51.8735,52.8248,1342.9123222417
2016-11-22,52.7244,52.7736,51.8735,52.3349,20923.407582421
2016-11-23,52.0506,52.7244,52.0506,52.389,2626.8625591768
2016-11-25,51.6178,51.7703,50.5849,50.7403,1282.9336492574
2016-11-28,51.2312,51.9699,51.1043,51.3089,20298.206160636
2016-11-29,49.8432,49.8432,49.1969,49.5097,872.2322274666
2016-11-30,52.6467,53.9294,52.5149,53.5979,41139.270141164
2016-12-01,55.524,56.4496,55.3705,55.5742,2059.6066350202
2016-12-02,55.8152,56.4221,55.8152,56.3936,300.9099525992
2016-12-05,57.0172,57.0172,55.8643,55.8643,1534.0308056493
2016-12-06,55.345,55.8152,55.1659,55.524,2977.5853079833
2016-12-07,55.0144,55.2692,54.6465,54.7243,2431.6777250584
2016-12-08,55.0351,55.5742,54.9859,55.3971,1058.2677724857
2016-12-09,56.2716,56.2716,55.9873,56.2155,1728.19905209
2016-12-12,58.5232,58.5813,56.9897,57.152,4347.9454975229
2016-12-13,57.7087,58.0432,57.5297,57.7028,924.0781990293
2016-12-14,56.9838,57.6645,55.7365,55.7856,2387.9644549173
2016-12-15,55.1905,56.2155,55.0351,55.9155,2362.5497629748
2016-12-16,56.0611,56.8343,56.0611,56.8343,350.7227488065
2016-12-19,56.5273,56.9897,56.5273,56.8608,546.9241706026
2016-12-20,57.5297,57.5297,57.0684,57.0959,312.0924170539
2016-12-21,57.33,57.3792,56.1152,56.3936,1481.1682464089
2016-12-22,56.6336,56.8608,56.4713,56.4713,233.815165871
2016-12-23,56.5775,56.8343,56.5775,56.8343,115.8909952578
2016-12-27,57.3527,57.8592,57.3527,57.8592,1014.5545023446
2016-12-28,58.1908,58.1908,57.7815,57.7815,892.5639810206
2016-12-29,57.8868,57.8868,57.6645,57.6645,124.0236966794
2016-12-30,57.33,57.6074,57.33,57.6074,3263.246445417
2017-01-03,58.9964,58.9964,55.8643,56.0365,2023.009478623
2017-01-04,56.2932,57.0398,55.9598,56.9395,1721.0829383461
2017-01-05,57.5582,57.937,56.7615,57.5582,1462.8696682103
2017-01-06,57.7087,57.7304,57.4805,57.6802,374.1042653936
2017-01-09,56.6336,56.6336,55.5476,55.5476,2517.0710899852
2017-01-10,55.8643,55.8643,54.6987,54.6987,574.3720379005
2017-01-11,55.0872,56.3709,54.4439,55.9873,1788.1777250743
2017-01-12,57.0684,57.0684,56.606,56.6828,627.2345971409
2017-01-13,56.3709,56.5559,56.0365,56.1152,1360.1943127626
2017-01-17,57.152,57.152,56.0611,56.0611,444.2488151549
2017-01-18,55.1403,55.704,54.801,54.801,836.6516587471
2017-01-19,55.22,55.4473,54.5934,54.8551,2342.2180094208
2017-01-20,56.1653,56.3709,55.9155,55.9598,985.0734596913
2017-01-23,55.1905,55.8152,55.1905,55.6027,1143.6611374125
2017-01-24,55.9361,56.2932,55.7856,55.7856,1524.88151655
2017-01-25,55.4974,56.0808,55.3705,55.524,1652.9715639402
2017-01-26,56.1152,56.6828,56.0365,56.4162,6461.4312794612
2017-01-27,55.8368,55.8919,55.3705,55.8152,1360.1943127626
2017-01-30,55.5742,55.6027,55.0617,55.3705,1353.0781990187
2017-01-31,55.8643,56.244,55.345,55.5191,854.9502369457
2017-02-01,55.9361,56.5273,55.5742,56.1653,5154.099525939
2017-02-02,56.7615,56.7615,56.1368,56.3709,1673.3033174942
2017-02-03,56.2932,56.7831,56.244,56.4713,681.113744059
2017-02-06,56.3936,56.3936,55.6027,55.7591,1129.4289099247
2017-02-07,54.496,54.7774,54.496,54.7774,193.151658763
2017-02-08,54.2393,55.22,54.1094,54.9328,1465.9194312434
2017-02-09,55.704,55.7365,55.4473,55.5476,700.4289099353
2017-02-10,56.3936,56.4496,56.2932,56.4221,1479.1350710535
2017-02-13,55.6597,55.7365,55.524,55.524,390.3696682368
2017-02-14,56.244,56.244,55.7365,55.7365,582.5047393221
2017-02-15,55.4473,56.0365,55.4473,55.5742,865.1161137227
2017-02-16,55.9361,55.9361,55.3705,55.8643,350.7227488065
2017-02-17,55.345,55.6597,55.345,55.6253,1554.3625592033
2017-02-21,56.7831,56.8608,56.3936,56.4329,2471.3246444887
2017-02-22,55.704,55.7365,55.524,55.524,311.0758293762
2017-02-23,56.5273,56.5273,56.4221,56.4221,252.1137440696
2017-02-24,56.244,56.244,56.0611,56.0611,778.7061611182
2017-02-27,56.5775,56.5775,56.0611,56.0611,2163.2985781456
2017-02-28,55.6597,55.8919,55.3164,55.8919,319.2085307978
2017-03-01,56.3218,56.4221,55.9598,55.9598,543.8744075695
2017-03-02,54.8551,55.1905,54.621,54.6465,1632.6398103862
2017-03-03,54.7774,55.2417,54.7774,55.1403,271.4289099459
2017-03-06,55.345,55.4974,55.0617,55.2417,2256.824644494
2017-03-07,55.704,55.704,55.1403,55.1403,607.9194312646
2017-03-08,54.4685,54.6987,52.0506,52.2326,1632.6398103862
2017-03-09,51.6699,51.6925,50.5849,51.0748,1130.4454976024
2017-03-10,51.2312,51.2804,50.2721,50.2721,1322.5805686877
2017-03-13,50.457,50.457,50.1216,50.1216,479.8293838744
2017-03-14,49.5806,49.6868,49.1448,49.3032,871.2156397889
2017-03-15,50.4826,50.8721,50.1747,50.6351,1081.6492890728
